company,category,sub_category,question,answer,collected_at,source_url
KGM,차량정비,,내차의 보증 수리 항목 및 보증기간이 궁금해요.,"보증기간은 차량 등록 일자가 아닌 차량이 출고된 날부터 적용되며, 만료일은 기간에서 익일(+1일)을 포함하여 적용됩니다. 예) 일반부품 보증기간이 3년/6만km이며 2025.3.23일 출고 차량일 경우 2028.3.23일이 보증기간 만료일입니다. 단, 기간이나 주행거리 중 먼저 도래한 것을 보증기간 만료로 간주하며, 만료일이 주말이나 공휴일인 경우 그날을 제외한, 도래하는 평일에 만료되는 점 참고 바랍니다. ※ 내차 보증기간 확인하기 https://www.kg-mobility.com/sr/kgm-service/service-program?menu=Repair",2026-06-28,https://www.kg-mobility.com/sr/online-center/faq/detail?searchWord=&categoryCd=300
KGM,차량정비,,내비게이션 업그레이드 방법이 궁금해요.,"현재 양산되고 있는 KG모빌리티에 적용된 내비게이션은 지니 맵이 적용된 내비게이션과 아이나비 맵이 적용된 내비게이션 두 종류가 있습니다. 이중 커넥티드 카 서비스 적용되는 KGM 링크(구.인포콘) 전용 내비게이션의 경우, 아이나비 맵이 적용되어 있으며, SD카드 내부에 차량 정보가 저장되어 있는데, SD카드가 미적용된 내비게이션이라도 USB 이용하여 차량 정보를 저장할 수 있기 때문에 시리얼 번호를 제공해 드리지 않습니다. 그리고 지니 맵 내비게이션 역시, 2020.10월 이후 회원 가입이나 시리얼번호를 등록하지 않아도 맵 업데이트를 진행할 수 있도록 변경되었기 때문에, 현재는 별도로 시리얼 번호를 제공해 드리고 있지 않습니다. ☞ PC : KGM 홈페이지(kg-mobility.com/) → 고객 서비스 → 차량 운영 지원 → S/W 업데이트 → 아이나비 / GINI 중 차량에 적용된 맵 확인 후 [내비게이션 맵 업데이트 ＞] 버튼 클릭 ※ 커넥티드 카 서비스 적용된 아이나비 맵 내비게이션 참고 동영상 ⑴ 9인치 내비게이션 참고 동영상 바로가기 ⑵ 12.3인치 내비게이션 참고 동영상 바로가기 ⑶ 하이퍼바이저 내비게이션 참고 동영상 바로가기 ※ 지니 맵 적용 내비게이션 참고 동영상 바로가기 ▷ 지니 맵 업데이트 시 차종 참고 바로가기",2026-06-28,https://www.kg-mobility.com/sr/online-center/faq/detail?searchWord=&categoryCd=300
KGM,구매/영업,,KGM 직접 출고를 위한 출고센터는 어디에 있나요?,KGM 평택공장 후문에 위치하고 있습니다. - . 주소 : 경기도 평택시 동삭로455-12 - . 전화 : 031-610-1382 / 1385,2026-06-28,https://www.kg-mobility.com/sr/online-center/faq/detail?searchWord=&categoryCd=300
KGM,차량정비,,KG모빌리티 순정 내비게이션 업데이트를 인터넷에서 할 수 있나요?,"현재 양산되는 차량에 적용된 순정 내비게이션의 경우, 인터넷을 통해 맵 정보나 안전운행 정보를 무료로 업데이트하실 수 있습니다. 순정 내비게이션에는 지니 맵 또는 아이나비 맵이 적용되어 있으며, 맵 종류에 따른 업데이트 사이트는 저희 홈페이지 통해서도 확인해 볼 수 있습니다. (맵 업체마다 다운로드용 프로그램을 PC에 설치해야 합니다) ☞ PC : KGM 홈페이지(kg-mobility.com) → 고객 서비스 → 차량 운영 지원 → S/W 업데이트 KGM 순정 내비게이션이 아닌 경우, 내비게이션을 장착하신 업체나 내비게이션 맵 업체로 문의해 주시기 바랍니다. ※ 지니 맵의 경우 2020.10월부터 회원가입 및 시리얼번호 등록하지 않아도 업데이트 가능합니다. ※ 아이나비 맵 인포콘 내비게이션의 경우 인포콘 서비스에 가입 후 목적지 설정하면 운행 경로를 따라 인포콘 통신 이용하여 실시간 맵 업데이트됩니다. 인포콘 서비스 가입 여부와 무관하게 아이나비 홈페이지에 회원가입 후 맵 및 소프트웨어 업데이트 가능합니다.",2026-06-28,https://www.kg-mobility.com/sr/online-center/faq/detail?searchWord=&categoryCd=300
KGM,차량정비,,리콜 대상 여부를 확인할 수 있나요?,"자동차 리콜 센터 홈페이지 통해 운행하시는 차량의 차량번호를 이용하여 진행되었던 리콜이나 현재 진행 중인 리콜 사항을 확인하실 수 있습니다. ☞ 자동차 리콜 센터 홈페이지 : https://car.go.kr/home/main.do 또는 ☞ PC : KGM 홈페이지(kg-mobility.com) 로그인 → 마이페이지 → 하단의 리콜 알림 ☞ 모바일 : KGM 홈페이지(kg-mobility.com) 로그인 → 이름 클릭하여 마이페이지 → 화면 아래 → 리콜 알림 ※ 홈페이지 메뉴에서는 리콜 대상 차량이더라도, 이미 서비스 네트워크 통해 조치된 경우, 알림이 표시되지 않습니다.",2026-06-28,https://www.kg-mobility.com/sr/online-center/faq/detail?searchWord=&categoryCd=300
KGM,구매/영업,,차량 이전 등록에 필요한 서류는 어떻게 되나요?,"◆ 양도인(구차주) 1. 개인 ① 소유권이전등록신청서 ② 양도증명서(양도인 인감도장 날인) → 관인 양도계약서만 인정 ③ 자동차 등록증 ④ 인감증명서 1통 ⑤ 자동차세 완납증명서 또는 마지막납부영수증 2. 법인 ① 소유권이전등록신청서 ② 양도증명서(양도인 인감도장 날인) → 관인 양도계약서만 인정 ③ 자동차 등록증 ④ 법인 인감증명서 ⑤ 법인 등기부등본 ⑥ 사업자 등록증 사본 ⑦ 자동차세 완납증명서 또는 마지막납부영수증 ◆ 양수인(신차주) 1. 개인 ① 주민등록등본 ② 본인등록시만 주민등록증(운전면허증) ③ 책임보험영수증 또는 보험가입증명서 ④ 일반사업자: 사업자 등록증 사본 <<대리신청시 첨부서류>> ① 양수인 위임장(인감도장 날인) ② 양수인 인감증명서 ③ 신청인 주민증록증(운전면허증), 도장 2. 법인 ① 법인등기부등본 또는 사업자등록증 ② 책임보험영수증 또는 보험가입증명서 ③ 대표이사 직접등록시만 본인신분증 지참 <<대리신청시 첨부서류>> ① 양수인 위임장(인감도장 날인) ② 법인 인감증명서 ③ 신청인 주민증록증(운전면허증), 도장",2026-06-28,https://www.kg-mobility.com/sr/online-center/faq/detail?searchWord=&categoryCd=300
KGM,구매/영업,,차량 구매 시 타인 카드로 결제가 가능한가요?,○ 개인명의로 차량 구매시 차량 소유자 본인 카드로 승인 받는 것이 원칙입니다. ○ 개인사업자 명의로 차량 구매시 개인사업자 대표카드 및 개인기업카드 경우에만 사용이 가능합니다. ※ 직계가족 카드 수납은 불가 ○ 법인 명의로 차량 구매시 법인카드만 사용 가능합니다.,2026-06-28,https://www.kg-mobility.com/sr/online-center/faq/detail?searchWord=&categoryCd=300
KGM,차량정비,,2열 주차(이중 주차)하고 싶어요.,"※ 2열 주차(이중 주차) 시 차량이 움직여 사고가 발생될 수 있습니다. ※ 반드시 경사가 없는 평지에서 사용하시고, 바퀴에 고임목을 설치해 주시기 바랍니다. ▶ EPB 적용 차량 1. 시동 걸린 상태에서 AUTO HOLD(오토홀드) 해제 2. P 상태에서 시동 끄기 3. 차종에 따라 P릴리즈 버튼을 누르는 등 기어레버가 N으로 이동되도록 조작해 주십시오. ① 올 뉴 렉스턴 (20.11월~), 렉스턴 뉴 아레나 (23.05월~25.09월), 코란도 이모션(22.03월~) : P 릴리즈 버튼 누르기 ② G4 렉스턴 : 기어레버 단수 표시부 M↔D 아래의 오목하게 패인 곳에 스마트키 비상키(쇠키) 넣은 후 기어레버 N으로 이동 ③ 토레스, 코란도(19.03월~) : 기어레버 앞쪽의 선택레버 해제 버튼(시프트 릴리즈 버튼) 누른 상태에서 기어레버의 노브 버튼 누르면서 N으로 이동 ④ 더 뉴 토레스 (2024. 5월~), 액티언(24.08월~), 렉스턴 뉴 아레나(25.10월~) : 시동 끄고 30초 이내에 브레이크 페달을 밟으면서 N(전면유리 방향)으로 3초간 밀기 ⑤ 토레스 EVX, 코란도 EV (24.06월~), 무쏘 EV, 토레스 하이브리드, 액티언 하이브리드 : 브레이크 페달 밟지 않고 시동 스위치 2회 눌러 시동버튼에 적색 ON 점등 → 브레이크 페달 밟고 N(전면유리 방향)으로 짧게 밀기 → 계기판에서 N으로 이동 메시지 확인 후 다시 시동 끄기 ※ 이중 주차 상태에서 도어를 열었거나 인포콘 앱 이용하여 공조 장치나 전기 장치가 작동되면 P단으로 변경되므로, 위 단계를 다시 진행해 주셔야 합니다. ▶ EPB 미적용 차량 1. P에서 시동 끄기 2. 차종에 따라 기어레버가 N으로 이동되도록 조작해 주십시오. ① 코란도/티볼리/티볼리 에어 : 기어레버 앞쪽의 선택레버 해제 버튼(시프트 릴리즈 버튼) 누르면서 기어레버의 노브버튼 누르면서 N으로 이동 ② G4 렉스턴/ 렉스턴 스포츠(칸), 쿨멘 포함/무쏘스포츠(칸) : 기어레버 단수 표시부 M↔D 아래의 오목한 곳에 스마트키 비상키(쇠키) 넣은 후 기어레버 N으로 이동 ※ 참고 페이지 바로가기 클릭",2026-06-28,https://www.kg-mobility.com/sr/online-center/faq/detail?searchWord=&categoryCd=300
KGM,차량정비,,"서비스 네트워크의 차이점이 무엇인가요? (서비스센터, 서비스프라자)","KGM의 서비스 네트워크의 종류는 다음과 같습니다. * 광역서비스센터 : 본사에서 직영으로 운영하는 1급 정비소로, 경기 군포시 당정동과 대전 대덕구 상서동(신탄진) 두 곳에 위치하고 있습니다. * 서비스센터 : 1급 정비소(자동차종합정비업체)로, 엔진이나 변속기 등의 주요 부품이나 보험 수리, 판금, 도장 등에 대한 수리가 가능합니다. * 서비스프라자 : 3급 정비소로 간단한 경정비가 가능합니다. ☞ PC : KGM 홈페이지(kg-mobility.com/) → 고객 서비스 → 서비스 네트워크 → 정비 네트워크 조회·예약 → 위치 확인 허용 → 지역 입력 후 돋보기 누르기 ☞ 모바일 : 홈페이지(kg-mobility.com) - 오른쪽 상단의 3줄 전체메뉴 → 고객 서비스 → 서비스 네트워크 → 정비 네트워크 조회·예약 → 위치 확인 허용 → 지역 입력 후 돋보기 누르기 * 지정공장 : 당사 차량뿐 아니라 타사 차량도 수리하는 1급 정비업체로, 공주시 공주종합모터스(☎ 041-857-6286), 전북 정읍시 대성자동차공업사(☎ 063-537-7476) 두 곳이 운영되고 있습니다.",2026-06-28,https://www.kg-mobility.com/sr/online-center/faq/detail?searchWord=&categoryCd=300
KGM,홈페이지,,홈페이지 내차등록 방법은?,"홈페이지에서는 KGM 정비 전산(서비스 네트워크망)에 등록된 차량번호를 이용하여 고객님 및 차량 정보를 조회하고 있습니다. 이에 따라 차량 구매 후 한 번도 저희 서비스 네트워크에 방문하지 않으셨거나 차량번호 변경 또는 명의 변경된 상태라면, 저희 서비스 네트워크에 먼저 방문하셔서 자동차등록증 확인하여 차량번호, 소유자명, 생년월일(또는 사업자번호/법인번호) , [소유자 및 운행자의 이메일] 등 고객님 정보를 수정해 주셔야 하니 참고가 되셨으면 합니다. ★ 정비 전산의 이메일 수정 시 홈페이지 회원 가입 시 기재하신 이메일 주소로 수정 부탁드립니다. ※ 홈페이지 내차등록 방법 - 등록된 차량이 없는 경우 : ☞ PC : KGM 홈페이지(kg-mobility.com) 우측 상단 네모 안쪽으로 향하는 화살표 눌러 로그인 → (우측 상단 사람모양 또는 우측 슬라이드 메뉴의 이름 클릭) 마이페이지 → 화면 오른쪽 내차 등록하기 버튼 → 개인차량/법인차량 선택 → 띄어쓰기 없이 차량번호 입력 (이메일은 홈페이지 회원가입 시 등록한 이메일 자동으로 끌려옴) → 조회하기 누르기 ☞ 모바일 : KGM 홈페이지(kg-mobility.com) 전체메뉴 (오른쪽 상단의 3줄 ) → 왼쪽 아래 로그인 → 회원명 터치 (바로 이름 안 보이면 전체메뉴 터치 후 이름 터치) → 내차 등록하기 터치 → 개인차량/법인차량 선택 → 띄어쓰기 없이 차량번호 입력 (이메일은 홈페이지 회원가입 시 등록한 이메일 자동으로 끌려옴) → 조회하기 누르기 - 이미 등록된 차량이 있는 경우 : ☞ PC : KGM 홈페이지(kg-mobility.com) 우측 상단 네모 안쪽으로 향하는 화살표 눌러 로그인 → (우측 상단 사람모양) 마이페이지 → 오른쪽 상단 [내 차 정보 >] 클릭 → 보유 차량 탭의 왼쪽 [+ 내차 추가하기] 클릭 → 개인차량/법인차량 선택 → 띄어쓰기 없이 차량번호 입력 (이메일은 홈페이지 회원가입 시 등록안 이메일 자동으로 끌려옴) → 조회하기 누르기 ☞ 모바일 : KGM 홈페이지(kg-mobility.com/) 전체메뉴 (오른쪽 상단의 3줄 ) → 왼쪽 아래 로그인 → 회원명 터치 (바로 이름 안 보이면 전체메뉴 터치 후 이름 터치) → [내 차 정보 >] 클릭 → 보유 차량 탭의 왼쪽 [+ 내차 추가하기] 클릭 → 개인차량/법인차량 선택 → 띄어쓰기 없이 차량번호 입력 (이메일은 홈페이지 회원가입 시 등록안 이메일 자동으로 끌려옴) → 조회하기 누르기 ※ 법인 차량의 경우, 띄어쓰기 없는 차량번호, 사업자/법인등록번호, 법인명 기재하고 조회하실 수 있습니다.",2026-06-28,https://www.kg-mobility.com/sr/online-center/faq/detail?searchWord=&categoryCd=300
