company,category,sub_category,question,answer,collected_at,source_url
메르세데스-벤츠,I. 계약,,차량을 반납하고 계약을 해지하고 싶습니다. 어떻게 해야 하나요?,"장기렌터카의 경우, 중도해지(반납)는 다음과 같이 진행됩니다. STEP 1. 중도해지 신청 : 고객서비스센터 080-001-1886 (평일/주말 9~18시) STEP 2. 반납일정 조정 후 차량 반납(외관 검사 진행) STEP 3. 반납일자를 기준으로 위약금 산출 후 위약금 납부 STEP 4. 차량 검사(외관 및 기능, 수리사고이력 검사) 진행 STEP 5. 중도해지(반납) 완료 * 차량 검사 기반으로 감가비용 청구 및 기타 대금(반납지연금, 과태료 대납분 등)이 발생할 수 있습니다. * 상기 절차는 중도해지 반납의 경우에 한하며, 중도해지 인수는 해당되지 않습니다.",2026-06-28,https://www.mercedes-benz.co.kr/passengercars/buy/mbmk/help/help-faq.html
메르세데스-벤츠,I. 계약,,"차량반납 시, 유예거리, 유예시간이 있나요?","장기렌터카의 경우, 차량반납 시 약정거리 기준 1,000 km의 유예거리가 제공되며, 계약 종료일자(계약 종료일이 주말/공휴일인 경우 익 영업일)에서 반납이 지연될 경우, 지연배상금이 청구됩니다.",2026-06-28,https://www.mercedes-benz.co.kr/passengercars/buy/mbmk/help/help-faq.html
메르세데스-벤츠,I. 계약,,차량 렌트시 본인이 아닌 대리인의 인수가 가능한가요?,"장기렌터카의 경우, 차량인수위임장을 통해 고객님으로부터 인수권한을 부여받은 대리인을 통하여 차량을 인수하실 수 있습니다.",2026-06-28,https://www.mercedes-benz.co.kr/passengercars/buy/mbmk/help/help-faq.html
메르세데스-벤츠,Ⅱ. 보험/사고/고장,,차량보험은 어떻게 적용되나요?,"장기렌터카의 경우, 계약단계에서 설정하신 자동차 보험 조건에 따라 보험이 적용되며, 당사가 제공하는 자기/자차/대인/대물 등의 최대/최소 조건은 계약시기별로 상이할 수 있습니다.",2026-06-28,https://www.mercedes-benz.co.kr/passengercars/buy/mbmk/help/help-faq.html
메르세데스-벤츠,Ⅱ. 보험/사고/고장,,장기렌터카의 사고 및 고장발생시 어떻게 해야하나요?,"고객님께서 상담센터(080-001-1886)에 연락하신 뒤, 상담센터의 안내에 따라 긴급출동(Roadside Assistance) 또는 보험사고 접수를 진행합니다. 단, 보험사고에 따른 면책금은 고객님께서 직접 보험사에 납부하여야 합니다.",2026-06-28,https://www.mercedes-benz.co.kr/passengercars/buy/mbmk/help/help-faq.html
메르세데스-벤츠,Ⅲ. 가격/결제,,차량대여요금 및 기본 사항을 알려주세요.,"장기렌터카의 경우, 계약서 작성 시 고객님께서 설정해주신 월대여료가 매달 청구되며, 청구된 금액은 부가가치세가 반영된 금액입니다. 차량의 대여요금에는 계약기간 동안 차량 가격을 포함한 보험료, 각종 등⋅취득세, 국공채 매입 비용 등 제반비용이 모두 포함되어 있습니다. 차량의 정비의 경우 계약서 작성 시 안내받은 내용에 따라 서비스를 받을 수 있습니다.",2026-06-28,https://www.mercedes-benz.co.kr/passengercars/buy/mbmk/help/help-faq.html
메르세데스-벤츠,Ⅲ. 가격/결제,,결제방법은 어떻게 되나요? (장기렌터카),"각종 대금 및 수수료에 대하여 자동이체 또는 가상계좌납부 결제방식을 제공하고 있습니다. 가상계좌 : 보증금, 선수금 등 자동이체 : 렌탈료 및 수수료, 각종 추가요금 등",2026-06-28,https://www.mercedes-benz.co.kr/passengercars/buy/mbmk/help/help-faq.html
메르세데스-벤츠,Ⅲ. 가격/결제,,장기렌터카 중도해지와 관련된 추가비용이 궁금합니다.,"장기렌터카 계약 만기 전 해지하실 경우, 아래 산식에 의해 중도해지 위약금이 부과됩니다. *중도해지 위약금 = 일할대여료{월대여료(VAT 제외) x 12 / 365} x 미경과일수 x 위약금율(잔여 계약기간에 따라 상이) *차량 파손 및 관리 미흡으로 인해 발생되는 추가 비용은 별도 입니다.",2026-06-28,https://www.mercedes-benz.co.kr/passengercars/buy/mbmk/help/help-faq.html
메르세데스-벤츠,Ⅲ. 가격/결제,,"계약기간보다 초과해서 사용하게 될 경우, 비용은 어떻게 되나요?",장기렌터카: 일할 계산하여 청구하게 됩니다. 상세내용은 장기렌탈 계약서 참조 바랍니다.,2026-06-28,https://www.mercedes-benz.co.kr/passengercars/buy/mbmk/help/help-faq.html
메르세데스-벤츠,Ⅳ. 메르세데스-벤츠 모빌리티,,메르세데스-벤츠 모빌리티 코리아는 무엇인가요?,메르세데스-벤츠 모빌리티 코리아는 메르세데스-벤츠의 프리미엄 렌터카 서비스 회사입니다. 모빌리티 세상을 준비하기 위해 출범된 메르세데스-벤츠 모빌리티 코리아는 지속적인 모빌리티 솔루션을 개발하여 선보일 예정입니다.,2026-06-28,https://www.mercedes-benz.co.kr/passengercars/buy/mbmk/help/help-faq.html
메르세데스-벤츠,Ⅳ. 메르세데스-벤츠 모빌리티,,장기렌터카는 어떤 서비스인가요?,"1년에서 5년의 계약기간으로 월납입금 지불을 통해 내차와 같이 이용할 수 있는 장기렌터카 서비스입니다. 장기렌터카에는 보험료, 세금 등이 포함되어 있으므로 아무 걱정없이 차량이용을 할 수 있습니다.",2026-06-28,https://www.mercedes-benz.co.kr/passengercars/buy/mbmk/help/help-faq.html
메르세데스-벤츠,Ⅳ. 메르세데스-벤츠 모빌리티,,렌터카 상품별로 렌트가 가능한 기간이 어떻게 되나요?,장기렌터카의 경우 최소 12개월에서 최장 60개월까지 계약기간 이용 가능합니다.,2026-06-28,https://www.mercedes-benz.co.kr/passengercars/buy/mbmk/help/help-faq.html
