company,category,sub_category,question,answer,collected_at,source_url
볼보,차량 정보,차량 소프트웨어,지도 및 내비게이션,디스플레이 및 인포테인먼트,2026-06-28,https://www.volvocars.com/kr/support/topic/f2d15ef7057c40c8a570b75a2a091698/8741effb17074806a48cfde799138c45/2baa8855d1e241ee853266e12042fc9e/
볼보,차량 정보,내부,스마트폰 무선 충전기 문제,스마트폰 무선 충전기와 관련하여 문제가 있는 경우 몇 가지 방법으로 해결을 시도할 수 있습니다.,2026-06-28,https://www.volvocars.com/kr/support/topic/f2d15ef7057c40c8a570b75a2a091698/7a2b4ebb901c578faf66ec5ab7a9e508/af247a8070a8c26ec0a8015106a8fe01/
볼보,차량 정보,외부,플러그인 하이브리드 배기관의 얼음 막힘 방지,플러그인 하이브리드의 내연기관을 사용하면 잔류물로 물이 생성됩니다. 추운 날씨에는 이 물이 얼음으로 변해 배기관이 막힐 수도 있습니다. 어떤 경우에는 얼음으로 배기관이 막혀 자동차의 시동이 걸리지 않을 수도 있습니다. 이를 방지하기 위해 취할 수 있는 몇 가지 조치가 있습니다.,2026-06-28,https://www.volvocars.com/kr/support/topic/f2d15ef7057c40c8a570b75a2a091698/95dcef201d7a4bfc43acbb8070c38a58/f0fc9c95ea9fa45ac0a801515b24813d/
볼보,차량 정보,외부,거리 대응 EX30 키 태그를 키 카드로 사용,"거리 대응 EX30 키 태그에는 NFC 기능이 있습니다. 즉, 거리 대응 키의 배터리가 떨어지거나 방전된 경우 키 카드와 마찬가지로 사용할 수 있습니다.",2026-06-28,https://www.volvocars.com/kr/support/topic/f2d15ef7057c40c8a570b75a2a091698/95dcef201d7a4bfc43acbb8070c38a58/2a0b40caf7e870fdc0a80151510bef52/
볼보,차량 정보,규제 정보,REACH 규정 33.1항에 따른 후보 물질 정보(CL),"REACH 규정(규정 EC 1907/2006)의 33.1항에 따라 전문 고객에게 Volvo Cars가 공급하는 제품의 고위험성 우려 물질(SVHC)에 대해 알려야 합니다. 그 목적은 해당 구성 요소의 안전한 취급을 용이하게 하여 사람과 환경을 보호하는 것입니다. Volvo Cars는 REACH 규정 일반의 기본 목표, 특히 33항의 목표를 지원합니다. 이러한 목표들은 우리 제품의 책임있는 제조, 취급 및 사용을 촉진하기 위한 우리 자신의 노력과 일치합니다.",2026-06-28,https://www.volvocars.com/kr/support/topic/f2d15ef7057c40c8a570b75a2a091698/0e4e0a181d86607fc8a490b0ab8f3643/4c0bfface0745f73c0a80151326755fe/
볼보,차량 정보,규제 정보,레이더 유닛의 형식 승인,차량의 레이더 유닛 형식 승인은 다음 표에서 확인할 수 있습니다.,2026-06-28,https://www.volvocars.com/kr/support/topic/f2d15ef7057c40c8a570b75a2a091698/0e4e0a181d86607fc8a490b0ab8f3643/eae0c20fcdc1ab79c0a801512e9b2751/
볼보,차량 정보,규제 정보,무선 장비 형식 승인 지침 2014/53/EU,형식 승인 링크는 아래에서 확인할 수 있습니다.,2026-06-28,https://www.volvocars.com/kr/support/topic/f2d15ef7057c40c8a570b75a2a091698/0e4e0a181d86607fc8a490b0ab8f3643/435efc2f723398d6c0a801514b97e33a/
볼보,차량 정보,규제 정보,리모컨 시스템 형식 승인,리모컨 시스템 형식 승인은 표에서 확인할 수 있습니다.,2026-06-28,https://www.volvocars.com/kr/support/topic/f2d15ef7057c40c8a570b75a2a091698/0e4e0a181d86607fc8a490b0ab8f3643/913159312e23a5a3c0a801510ba64fe5/
볼보,전동화,배터리,Volvo Cars 앱에서 배터리 및 충전 기능,Volvo Cars 앱을 통해 자동차 배터리 및 충전에 관한 정보를 확인할 수 있습니다.,2026-06-28,https://www.volvocars.com/kr/support/topic/d3191d8f60124099aa95ee0c3c841211/7ca7f3d3274542618278cf2990eded4d/e08b82d4b8a1566ec0a8015170490fce/
볼보,전동화,배터리,Hold 기능 한계,플러그인 하이브리드 자동차는 Hold 기능을 사용하더라도 배터리 레벨이 영향을 받을 수 있습니다.,2026-06-28,https://www.volvocars.com/kr/support/topic/d3191d8f60124099aa95ee0c3c841211/7ca7f3d3274542618278cf2990eded4d/851e3787ea393cd9c0a8015144899625/
볼보,전동화,배터리,순수 전기차 충전 팁,"이러한 팁들을 활용하면, 순수 전기차를 효율적으로 충전하고, 장기적으로 그 배터리를 보호하는 데 도움이 될 수 있습니다.",2026-06-28,https://www.volvocars.com/kr/support/topic/d3191d8f60124099aa95ee0c3c841211/7ca7f3d3274542618278cf2990eded4d/eaaae572441290310a2e1f5c74d19f36-ec8b59f1d33539aec0a8cc374c819eab-8664b2fa77a7e089c0a8296870d1a409/
볼보,전동화,배터리,주행 가능 거리 및 배터리 관련 일반 정보,차량의 주행 가능 거리는 주로 배터리 및 운전 습관과 관련이 있습니다. 추운 기온과 같은 외부 조건도 영향을 미칠 수 있습니다. 배터리 손상의 위험을 최소화하고 주행 가능 거리를 늘리기 위해 할 수 있는 몇 가지 사항이 있습니다. 예를 들어 저온에서 주차했을 때 차를 충전하거나 장기 보관 중에 배터리 충전량을 일정 범위 내로 유지하는 등입니다.,2026-06-28,https://www.volvocars.com/kr/support/topic/d3191d8f60124099aa95ee0c3c841211/7ca7f3d3274542618278cf2990eded4d/26c05bd23b40a659c0a801516d8c37d8/
